address	original_name	display_name	name_source	class	bucket	route_source	path	src_chunk
8000685c	zz_000685c_	challenge-menu-flow_candidate_8000685c	evidence-index		challenge-menu-flow	evidence-topic	game/modes/challenge/8000685c_challenge-menu-flow_candidate_8000685c.c	chunk_0000.c
80006abc	zz_0006abc_	challenge-menu-flow_candidate_80006abc	evidence-index		challenge-menu-flow	evidence-topic	game/modes/challenge/80006abc_challenge-menu-flow_candidate_80006abc.c	chunk_0000.c
80006b74	zz_0006b74_	challenge-menu-flow_candidate_80006b74	evidence-index		challenge-menu-flow	evidence-topic	game/modes/challenge/80006b74_challenge-menu-flow_candidate_80006b74.c	chunk_0000.c
80006c24	zz_0006c24_	challenge-menu-flow_candidate_80006c24	evidence-index		challenge-menu-flow	evidence-topic	game/modes/challenge/80006c24_challenge-menu-flow_candidate_80006c24.c	chunk_0000.c
80006c88	zz_0006c88_	assets-animation_candidate_80006c88	evidence-index		assets-animation	evidence-topic	game/assets/animation/80006c88_assets-animation_candidate_80006c88.c	chunk_0000.c
80006d4c	zz_0006d4c_	zz_0006d4c_	generated		game-unsorted	symbol-or-address	game/unsorted/80006d4c_zz_0006d4c.c	chunk_0000.c
80006d80	zz_0006d80_	assets-animation_candidate_80006d80	evidence-index		assets-animation	evidence-topic	game/assets/animation/80006d80_assets-animation_candidate_80006d80.c	chunk_0000.c
80006dc8	zz_0006dc8_	assets-animation_candidate_80006dc8	evidence-index		assets-animation	evidence-topic	game/assets/animation/80006dc8_assets-animation_candidate_80006dc8.c	chunk_0000.c
80006e3c	zz_0006e3c_	movement-physics_candidate_80006e3c	evidence-index		movement-physics	evidence-topic	game/physics/movement/80006e3c_movement-physics_candidate_80006e3c.c	chunk_0000.c
80006e8c	zz_0006e8c_	assets-animation_candidate_80006e8c	evidence-index		assets-animation	evidence-topic	game/assets/animation/80006e8c_assets-animation_candidate_80006e8c.c	chunk_0000.c
80006ed8	zz_0006ed8_	assets-animation_candidate_80006ed8	evidence-index		assets-animation	evidence-topic	game/assets/animation/80006ed8_assets-animation_candidate_80006ed8.c	chunk_0000.c
80006f1c	zz_0006f1c_	assets-animation_candidate_80006f1c	evidence-index		assets-animation	evidence-topic	game/assets/animation/80006f1c_assets-animation_candidate_80006f1c.c	chunk_0000.c
80006f78	zz_0006f78_	zz_0006f78_	generated		game-unsorted	symbol-or-address	game/unsorted/80006f78_zz_0006f78.c	chunk_0000.c
80006f98	zz_0006f98_	zz_0006f98_	generated		game-unsorted	symbol-or-address	game/unsorted/80006f98_zz_0006f98.c	chunk_0000.c
80006fb4	zz_0006fb4_	assets-animation_candidate_80006fb4	evidence-index		assets-animation	evidence-topic	game/assets/animation/80006fb4_assets-animation_candidate_80006fb4.c	chunk_0000.c
80007030	zz_0007030_	assets-animation_candidate_80007030	evidence-index		assets-animation	evidence-topic	game/assets/animation/80007030_assets-animation_candidate_80007030.c	chunk_0000.c
800070e4	zz_00070e4_	assets-animation_candidate_800070e4	evidence-index		assets-animation	evidence-topic	game/assets/animation/800070e4_assets-animation_candidate_800070e4.c	chunk_0000.c
80007198	zz_0007198_	assets-animation_candidate_80007198	evidence-index		assets-animation	evidence-topic	game/assets/animation/80007198_assets-animation_candidate_80007198.c	chunk_0000.c
8000726c	zz_000726c_	challenge-menu-flow_candidate_8000726c	evidence-index		challenge-menu-flow	evidence-topic	game/modes/challenge/8000726c_challenge-menu-flow_candidate_8000726c.c	chunk_0000.c
80007338	zz_0007338_	challenge-menu-flow_candidate_80007338	evidence-index		challenge-menu-flow	evidence-topic	game/modes/challenge/80007338_challenge-menu-flow_candidate_80007338.c	chunk_0000.c
8000744c	zz_000744c_	assets-animation_candidate_8000744c	evidence-index		assets-animation	evidence-topic	game/assets/animation/8000744c_assets-animation_candidate_8000744c.c	chunk_0000.c
800075cc	zz_00075cc_	assets-animation_candidate_800075cc	evidence-index		assets-animation	evidence-topic	game/assets/animation/800075cc_assets-animation_candidate_800075cc.c	chunk_0000.c
8000761c	zz_000761c_	assets-animation_candidate_8000761c	evidence-index		assets-animation	evidence-topic	game/assets/animation/8000761c_assets-animation_candidate_8000761c.c	chunk_0000.c
800076d0	zz_00076d0_	knockback-targeting_candidate_800076d0	evidence-index		knockback-targeting	evidence-topic	game/combat/knockback/800076d0_knockback-targeting_candidate_800076d0.c	chunk_0000.c
80007794	zz_0007794_	knockback-targeting_candidate_80007794	evidence-index		knockback-targeting	evidence-topic	game/combat/knockback/80007794_knockback-targeting_candidate_80007794.c	chunk_0000.c
80007834	zz_0007834_	knockback-targeting_candidate_80007834	evidence-index		knockback-targeting	evidence-topic	game/combat/knockback/80007834_knockback-targeting_candidate_80007834.c	chunk_0000.c
80007908	zz_0007908_	force-setup_candidate_80007908	evidence-index		force-setup	evidence-topic	game/battle/force-setup/80007908_force-setup_candidate_80007908.c	chunk_0000.c
80007988	zz_0007988_	knockback-targeting_candidate_80007988	evidence-index		knockback-targeting	evidence-topic	game/combat/knockback/80007988_knockback-targeting_candidate_80007988.c	chunk_0000.c
80007a60	zz_0007a60_	zz_0007a60_	generated		game-unsorted	symbol-or-address	game/unsorted/80007a60_zz_0007a60.c	chunk_0000.c
80007ae4	zz_0007ae4_	knockback-targeting_candidate_80007ae4	evidence-index		knockback-targeting	evidence-topic	game/combat/knockback/80007ae4_knockback-targeting_candidate_80007ae4.c	chunk_0000.c
80007bb4	zz_0007bb4_	zz_0007bb4_	generated		game-unsorted	symbol-or-address	game/unsorted/80007bb4_zz_0007bb4.c	chunk_0000.c
80007c30	zz_0007c30_	assets-animation_candidate_80007c30	evidence-index		assets-animation	evidence-topic	game/assets/animation/80007c30_assets-animation_candidate_80007c30.c	chunk_0000.c
80007c54	zz_0007c54_	zz_0007c54_	generated		game-unsorted	symbol-or-address	game/unsorted/80007c54_zz_0007c54.c	chunk_0000.c
80007c84	zz_0007c84_	zz_0007c84_	generated		game-unsorted	symbol-or-address	game/unsorted/80007c84_zz_0007c84.c	chunk_0000.c
80007cac	zz_0007cac_	zz_0007cac_	generated		game-unsorted	symbol-or-address	game/unsorted/80007cac_zz_0007cac.c	chunk_0000.c
80007cd0	zz_0007cd0_	zz_0007cd0_	generated		game-unsorted	symbol-or-address	game/unsorted/80007cd0_zz_0007cd0.c	chunk_0000.c
80007cf4	zz_0007cf4_	zz_0007cf4_	generated		game-unsorted	symbol-or-address	game/unsorted/80007cf4_zz_0007cf4.c	chunk_0000.c
80007d18	zz_0007d18_	zz_0007d18_	generated		game-unsorted	symbol-or-address	game/unsorted/80007d18_zz_0007d18.c	chunk_0000.c
80007d40	zz_0007d40_	zz_0007d40_	generated		game-unsorted	symbol-or-address	game/unsorted/80007d40_zz_0007d40.c	chunk_0000.c
80007d68	zz_0007d68_	zz_0007d68_	generated		game-unsorted	symbol-or-address	game/unsorted/80007d68_zz_0007d68.c	chunk_0000.c
80007d8c	zz_0007d8c_	zz_0007d8c_	generated		game-unsorted	symbol-or-address	game/unsorted/80007d8c_zz_0007d8c.c	chunk_0000.c
80007db0	FUN_80007db0	knockback-targeting_candidate_80007db0	evidence-index		knockback-targeting	evidence-topic	game/combat/knockback/80007db0_knockback-targeting_candidate_80007db0.c	chunk_0000.c
80007e74	zz_0007e74_	knockback-targeting_candidate_80007e74	evidence-index		knockback-targeting	evidence-topic	game/combat/knockback/80007e74_knockback-targeting_candidate_80007e74.c	chunk_0000.c
80007f38	zz_0007f38_	zz_0007f38_	generated		game-unsorted	symbol-or-address	game/unsorted/80007f38_zz_0007f38.c	chunk_0000.c
80007f5c	zz_0007f5c_	assets-animation_candidate_80007f5c	evidence-index		assets-animation	evidence-topic	game/assets/animation/80007f5c_assets-animation_candidate_80007f5c.c	chunk_0000.c
8000804c	zz_000804c_	assets-animation_candidate_8000804c	evidence-index		assets-animation	evidence-topic	game/assets/animation/8000804c_assets-animation_candidate_8000804c.c	chunk_0000.c
8000814c	zz_000814c_	zz_000814c_	generated		game-unsorted	symbol-or-address	game/unsorted/8000814c_zz_000814c.c	chunk_0000.c
80008238	zz_0008238_	assets-animation_candidate_80008238	evidence-index		assets-animation	evidence-topic	game/assets/animation/80008238_assets-animation_candidate_80008238.c	chunk_0000.c
800083d4	zz_00083d4_	assets-animation_candidate_800083d4	evidence-index		assets-animation	evidence-topic	game/assets/animation/800083d4_assets-animation_candidate_800083d4.c	chunk_0000.c
8000850c	zz_000850c_	zz_000850c_	generated		game-unsorted	symbol-or-address	game/unsorted/8000850c_zz_000850c.c	chunk_0000.c
80008590	zz_0008590_	zz_0008590_	generated		game-unsorted	symbol-or-address	game/unsorted/80008590_zz_0008590.c	chunk_0000.c
80008614	zz_0008614_	assets-animation_candidate_80008614	evidence-index		assets-animation	evidence-topic	game/assets/animation/80008614_assets-animation_candidate_80008614.c	chunk_0000.c
800086b8	zz_00086b8_	assets-animation_candidate_800086b8	evidence-index		assets-animation	evidence-topic	game/assets/animation/800086b8_assets-animation_candidate_800086b8.c	chunk_0000.c
80008744	zz_0008744_	assets-animation_candidate_80008744	evidence-index		assets-animation	evidence-topic	game/assets/animation/80008744_assets-animation_candidate_80008744.c	chunk_0000.c
800087d4	zz_00087d4_	assets-animation_candidate_800087d4	evidence-index		assets-animation	evidence-topic	game/assets/animation/800087d4_assets-animation_candidate_800087d4.c	chunk_0000.c
